repo,repo_stars,repo_forks,repo_createdAt,repo_updatedAt,repo_total_commits,repo_url,repo_description,repo_languages
radiantearth/stac-spec,817,180,2017-05-10 15:25:31+00:00,2025-02-12 18:40:09+00:00,2927,https://stacspec.org,SpatioTemporal Asset Catalog specification - making geospatial assets openly searchable and crawlable,JavaScript
radiantearth/stac-browser,298,147,2018-05-10 01:39:58+00:00,2025-02-14 20:24:05+00:00,1016,https://radiantearth.github.io/stac-browser,A full-fledged UI in Vue for browsing and searching static STAC catalogs and STAC APIs,"Vue,JavaScript,SCSS,HTML,Shell,Dockerfile"
radiantearth/stac-api-spec,231,47,2020-03-02 16:21:32+00:00,2025-02-14 16:08:00+00:00,2483,http://stacspec.org,SpatioTemporal Asset Catalog API specification - an API to make geospatial assets openly searchable and crawlable,"JavaScript,HTML,Shell"
radiantearth/stac-site,27,32,2018-08-15 16:39:54+00:00,2025-01-26 18:07:43+00:00,288,https://stacspec.org,Website for SpatioTemporal Asset Catalog specification,"HTML,Jupyter Notebook,JavaScript,CSS,Dockerfile,Python"
stac-utils/pystac,378,123,2017-11-08 13:30:15+00:00,2025-02-13 03:28:01+00:00,1938,https://pystac.readthedocs.io,Python library for working with any SpatioTemporal Asset Catalog (STAC),"Python,Jinja,Shell"
stac-utils/pystac-client,175,48,2021-03-03 03:33:04+00:00,2025-02-13 03:28:03+00:00,926,https://pystac-client.readthedocs.io,Python client for searching STAC APIs,"Python,Shell"
stac-utils/stac-fastapi,259,105,2020-06-17 03:31:20+00:00,2025-01-30 17:49:58+00:00,426,https://stac-utils.github.io/stac-fastapi/,STAC API implementation with FastAPI. ,"Python,Shell,Dockerfile,Makefile"
stac-utils/stac-fastapi-pgstac,62,29,2022-07-28 01:48:07+00:00,2025-02-12 17:17:04+00:00,292,https://github.com/stac-utils/stac-fastapi-pgstac,PostgreSQL backend for stac-fastapi using pgstac (https://github.com/stac-utils/pgstac),"Python,Shell,Makefile,Dockerfile"
stac-utils/stactools,104,29,2020-08-19 22:36:21+00:00,2024-12-23 12:31:09+00:00,649,https://stactools.readthedocs.io/,Command line utility and Python library for STAC,"Python,Shell,Dockerfile"
stac-utils/pgstac,158,42,2021-03-09 16:34:19+00:00,2025-02-11 10:08:36+00:00,203,https://github.com/stac-utils/pgstac,"Schema, functions and a python library for storing and accessing STAC collections and items in PostgreSQL","PLpgSQL,Python,Shell,Dockerfile"
stac-utils/stac-server,76,28,2019-12-06 22:22:28+00:00,2025-02-11 04:57:30+00:00,1057,https://github.com/stac-utils/stac-server,"A Node-based STAC API, AWS Serverless, OpenSearch","JavaScript,Shell,TypeScript,HTML"
stac-utils/stac-layer,51,11,2021-07-04 13:53:50+00:00,2025-02-12 01:43:20+00:00,199,https://github.com/stac-utils/stac-layer,Visualize a STAC Item or Collection on a Leaflet Map,"HTML,JavaScript,Shell"
